Sample	Top over-represented sequence	Sum of remaining over-represented sequences
DR1034-SAH_2	2.165358860482776	58.27829808776494
DR1035-E_1	6.185725586710029	63.32403093961498
DR1035-E_2	3.766370748000351	61.04531071459967
DR1035-H_1	2.4462185499478935	66.7159818371297
DR1035-H_2	2.149397052255471	59.354994789340466
DR1035-SAH_1	3.084968129215917	60.84122367308209
DR1035-SAH_2	1.656455638756524	57.539657982135886
DR1036-SAH_1	3.1806615776081424	59.47404827194352
DR1036-SAH_2	1.7144692309592628	56.30203315299293
DR1038-A-SAH_1	2.675763670507706	60.82139721978378
DR1038-A-SAH_2	1.6034580467369683	58.39565299523293
DR1038-SAH_1	3.8424790781733837	59.339710605380375
DR1038-SAH_2	1.8890078392098628	54.84799300111656
DR1039-SAH_1	3.681249924066627	59.75288243083991
DR1039-SAH_2	1.9852021042656331	54.2054939314048
DR1040-SAH_1	3.8306781762462863	71.74421596837209
DR1040-SAH_2	2.3194610148080566	64.37878681544898
DR1041-E_1	10.194726375868392	77.69040055783688
DR1041-E_2	8.806590738875546	71.67170269362882
DR1041-H_1	3.4282551821292007	75.3763332662507
DR1041-H_2	3.257194606560676	66.31917890923724
DR1041-SAH_1	6.8698769141561895	69.36691178408587
DR1041-SAH_2	1.7658996863551304	64.06657705384667
DR1042-E_1	11.816781304923298	73.53049666934275
DR1042-E_2	8.16607720181396	70.33870722763469
DR1042-H_1	5.49043228466849	70.39027629770328
DR1042-H_2	2.53671871380253	64.72223509243375
DR1042-SAH_1	5.457846052799621	65.26062286767247
DR1042-SAH_2	2.0716644469175893	59.804601266169165
DR1043-E_1	3.590527119938885	77.07410236822005
DR1043-E_2	5.012550474735349	67.24216959511074
DR1043-H_1	2.604992285418384	74.38124828271302
DR1043-H_2	2.2625916767061907	65.14805655950795
DR1043-SAH_1	5.850503114518448	65.373742213704
DR1043-SAH_2	1.9202204120747486	59.73646382367034
DR1044-E_1	10.411961431549688	77.06089298123695
DR1044-E_2	10.597637248088951	71.30385684503128
DR1044-SAH_1	5.219950978667511	67.6236381334365
DR1044-SAH_2	1.7216104328654023	64.89110931288046
DR1045-E_1	18.52185072968074	71.1435413662164
DR1045-E_2	9.796112779666847	72.97072015453622
DR1045-H_1	5.79782202711552	77.54238315830322
DR1045-H_2	4.837379641531856	69.77759452838889
DR1045-SAH_1	3.019118229183383	62.97033304447367
DR1045-SAH_2	2.3376234340062694	55.760610242749124
DR1046-E_1	9.647212275585417	74.54809455252433
DR1046-E_2	6.438037579829452	70.12071320462184
DR1046-H_1	2.1147126159778287	71.7688878178094
DR1046-H_2	2.1279672249668637	60.538619110736306
DR1046-SAH_1	4.824806534823732	64.35189165950136
DR1046-SAH_2	1.5885640584694753	56.85404127257088
DR1047-E_1	3.1100649119052712	69.5793803647431
DR1047-E_2	2.455001545521554	59.47404712651874
DR1047-H_1	2.960155937866993	67.01575117740344
DR1047-H_2	1.8196786808237588	57.7599670690219
DR1047-SAH_1	6.158915077365959	63.52667326376397
DR1047-SAH_2	2.35583843109032	56.323092839150746
DR1048-E_1	6.522975307831945	82.32180740546336
DR1048-E_2	6.7974542352863985	70.06648732585352
DR1048-H_1	3.2962645466608738	79.91592000657604
DR1048-H_2	4.258017544065667	69.77934873234145
DR1048-SAH_1	6.201075744873257	70.08449589766293
DR1048-SAH_2	1.6616584557126575	63.98986426021344
DR1049-E_1	5.975081606929318	67.68446397983256
DR1049-E_2	3.8985488510390742	62.820367796774526
DR1049-H_1	3.6210033792565635	61.209600554544664
DR1049-H_2	2.1038038298241055	55.48999220171562
DR1049-SAH_1	4.670484122852681	60.64445601249352
DR1049-SAH_2	1.9812597605413846	55.78969286829771
E-10_1	9.062908186912738	77.88690852399613
E-10_2	7.089706316099945	79.16319049424847
E-1_1	6.989212904693844	67.25401938406182
E-1_2	5.204400167815062	67.71622188564406
E-2_1	6.12801923002365	74.38374752839917
E-2_2	6.37537316326135	74.0464467103478
E-3_1	4.245816570462364	68.08874118127223
E-3_2	5.347793131595825	65.96991429071193
E-4_1	14.044986431593317	70.02730536499858
E-4_2	8.884356722681993	74.26890727974518
E-5_1	7.370636045469007	76.61759176235792
E-5_2	6.194863043415382	73.57620108176901
E-6_1	9.055783627143201	78.82223065512123
E-6_2	11.431331286438748	76.77096629523577
E-7_1	6.622142789953908	80.53670532270853
E-7_2	6.20355563916847	79.29169410215414
