""	"observed"	"chao1"	"diversity_inverse_simpson"	"diversity_gini_simpson"	"diversity_shannon"	"diversity_fisher"	"diversity_coverage"	"evenness_camargo"	"evenness_pielou"	"evenness_simpson"	"evenness_evar"	"evenness_bulla"	"dominance_dbp"	"dominance_dmn"	"dominance_absolute"	"dominance_relative"	"dominance_simpson"	"dominance_core_abundance"	"dominance_gini"	"rarity_log_modulo_skewness"	"rarity_low_abundance"	"rarity_rare_abundance"
"DR1027-H"	1996	1996	175.009075963468	0.994286010628336	6.5223872447495	393.292591945324	148	0.837102686557846	0.858333028807022	0.0876798977772885	0.411829414931225	0.493368550676697	0.0502646771897839	0.0754210046538406	3143	0.0502646771897839	0.00571398937166404	0.0135776999472245	0.927593654710222	2.06142269380263	0.615154568280318	0.924371091813399
"DR1027-SAH"	2135	2135	662.469461812015	0.998490496456599	7.09472918702003	495.884418448911	296	0.797643194702415	0.92545314443225	0.310290146047782	0.520495766370338	0.595433474453027	0.0108413793103448	0.0216551724137931	393	0.0108413793103448	0.00150950354340071	0.00548965517241379	0.894252049319846	2.06142303617716	0.785351724137931	0.950537931034483
"DR1028-SAH"	1492	1492	443.822757076175	0.99774684829911	6.71448229004067	341.219227574036	204	0.848947661684069	0.918801201317434	0.29746833584194	0.496873242608477	0.58626998265609	0.0189520206749316	0.0316491254354096	506	0.0189520206749316	0.00225315170089029	0.00262182104198659	0.927973781870833	2.06142303617716	0.66736581894453	0.961459230682797
"DR1029-SAH"	1438	1438	328.130516703247	0.996952432190559	6.49008555579285	306.228384251171	144	0.829514671308903	0.892597707955276	0.228185338458447	0.425255495122801	0.523931541167444	0.0210396412124131	0.0343135779429913	699	0.0210396412124131	0.00304756780944082	0.00511693706167414	0.941359626897849	2.06142303617716	0.559762814917377	0.962947355747524
"DR1030-E"	475	475	11.1230196284488	0.910096355719597	3.28371472539186	70.2386310341749	4	0.81160590411793	0.53278387195836	0.0234168834283133	0.244113295152148	0.17369232870201	0.173824198279556	0.346659635476748	10548	0.173824198279556	0.0899036442804027	0.000543818595300089	0.996156625406535	2.06134693431511	0.0934049635806335	0.993507135559144
"DR1030-SAH"	1925	1925	597.489209817315	0.998326329608018	7.01564422535434	462.945780673575	284	0.800348649429078	0.927666259687375	0.310384005099904	0.549610757834794	0.611614836901345	0.0138622014822948	0.0234696678561625	404	0.0138622014822948	0.00167367039198207	0.00456354652758715	0.901260774236221	2.06142303617716	0.762180894866868	0.960678012626956
"DR1034-SAH"	1011	1011	118.641643579467	0.991571256349545	5.93725619662629	212.410533288307	87	0.909670517339336	0.858146804950149	0.117350784945071	0.424312600244747	0.506724309978298	0.0491516458477438	0.0946413313260365	1208	0.0491516458477438	0.00842874365045519	0.000284819139846198	0.961466785233483	2.06142303617716	0.444439923505717	0.973674573788501
"DR1035-E"	1641	1641	14.3150779063972	0.930143586605762	5.257550401708	327.52994602497	35	0.871161131725818	0.710186007790169	0.00872338690213115	0.445275821443325	0.403478254674105	0.258271493583699	0.28828256324054	12599	0.258271493583699	0.0698564133942375	0.00647779918822516	0.955719641926038	2.06142252957002	0.444098232954778	0.698577344102333
"DR1035-H"	1828	1828	229.016587579137	0.995633504059375	6.45159985252624	360.024707861394	122	0.839898164441247	0.858956059455272	0.125282597143948	0.401042382818974	0.47597693383902	0.0252204831456757	0.0481925610903894	1447	0.0252204831456757	0.0043664959406246	0.0206016662599784	0.936281274528881	2.06142303617716	0.54550841844738	0.904399205214906
"DR1035-SAH"	2045	2045	426.948205524037	0.997657795519312	6.9033336892264	472.531577914098	234	0.785944098609963	0.905574586685517	0.208776628618111	0.517558517857064	0.572682852544726	0.0150567458183568	0.0296606571760111	532	0.0150567458183568	0.00234220448068776	0.00551891998981122	0.905853857475279	2.06142303617716	0.695214105793451	0.942546627798376
"DR1036-SAH"	1766	1766	578.569684217368	0.998271599727261	6.96423415346878	432.033046497765	274	0.8316936936139	0.931486642151498	0.327615902727841	0.56257782918931	0.620483521077385	0.017419125488802	0.0266224276178062	441	0.017419125488802	0.00172840027273932	0.00493739384603231	0.906908422901381	2.06142303617716	0.768218983291859	0.935655883398507
"DR1038-A-SAH"	1667	1667	386.597239133139	0.99741332865635	6.72654191071151	379.220459880784	197	0.839072454098101	0.906691007191116	0.231911961087666	0.501649703480056	0.572002435811888	0.017774266811494	0.031763273098318	540	0.017774266811494	0.00258667134365027	0.00260030940390376	0.923294667757432	2.06142303617716	0.662716829597446	0.947927981304104
"DR1038-SAH"	1589	1589	549.22094453965	0.998179239138744	6.8244574832106	371.767252012787	231	0.841736628829068	0.925869888862259	0.34563936094377	0.510939795070763	0.598879509841224	0.0101029283299784	0.0188765239849596	266	0.0101029283299784	0.00182076086125628	0.00489954043070379	0.920723306178616	2.06142303617716	0.706103536024915	0.961487333358654
"DR1039-SAH"	1579	1579	587.802577315569	0.998298748527836	6.8523597076503	376.584646935436	236	0.84141475143011	0.930452299969856	0.372262556881298	0.530343865624865	0.608783177072367	0.00964983713355049	0.0182410423452769	237	0.00964983713355049	0.00170125147216416	0.00798045602605863	0.918994319557555	2.06142303617716	0.710871335504886	0.948412052117264
"DR1040-SAH"	1313	1313	92.9910865170483	0.989246281149574	5.74415094720553	267.263901931856	44	0.837027472412893	0.800013237721214	0.0708233713001129	0.402043532721453	0.423920531970118	0.0495787606695488	0.0856335217825075	1789	0.0495787606695488	0.0107537188504262	0.0461977607804013	0.962083504078009	2.06142224467587	0.442079592062964	0.836409488970181
"DR1041-E"	417	417	9.00262432357818	0.888921278500874	3.04113028003246	61.9696727997343	3	0.993186111351603	0.504075388321855	0.0215890271548638	0.252746102571411	0.170640062288539	0.216519538720083	0.39365257200255	11209	0.216519538720083	0.111078721499126	0.004153064575325	0.996804509518876	2.06136993027993	0.0802797040700033	0.626919585079874
"DR1041-H"	1022	1022	59.8792845494168	0.983299733663739	5.4503992014908	170.884769416396	40	0.911883454072237	0.786548237315277	0.0585902979935585	0.308460867055161	0.415874490750796	0.0903672513232612	0.13942799531484	6095	0.0903672513232612	0.0167002663362607	0.0292674247928003	0.972569361569654	2.06141542479812	0.380357910655774	0.763547674470325
"DR1041-SAH"	1157	1157	216.850661555604	0.995388531476794	6.17157774553419	234.982243339286	103	0.882722860092638	0.874956083930605	0.18742494516474	0.382807216310265	0.502856909413318	0.0273067331670823	0.052213216957606	876	0.0273067331670823	0.0046114685232057	0.0564214463840399	0.956418422202773	2.06142303617716	0.475716957605985	0.86427680798005
"DR1042-E"	499	499	14.0025683863759	0.92858453017998	3.61175902156307	74.973430667646	5	0.994385306338008	0.581359733080931	0.0280612592913345	0.223735587148101	0.210063300250526	0.199934701171942	0.296284840361549	11635	0.199934701171942	0.0714154698200202	0.0076812042478606	0.995173406457877	2.06134275599633	0.103429906863251	0.820857820393855
"DR1042-H"	1177	1177	42.5954151199531	0.97652329488552	5.25694963303483	206.026762142478	27	0.831038686817587	0.743481085287566	0.0361898174341148	0.325340367456148	0.374990821551817	0.0876216520550149	0.172685594788064	5447	0.0876216520550149	0.02347670511448	0.101423630660339	0.972720034839796	2.06141444266298	0.363468189495697	0.576208477439073
"DR1042-SAH"	1626	1626	142.649906662331	0.992989830674288	6.27199768079713	329.64182516395	113	0.80771395092271	0.848268991550538	0.0877305699030324	0.408311408435405	0.489236569887409	0.0481654406906576	0.0868167202572347	2187	0.0481654406906576	0.00701016932571234	0.072941901951284	0.942309038684897	2.06142097039323	0.56882350350174	0.749548517817029
"DR1043-E"	1049	1049	35.9612906108984	0.972192321715591	4.77071461491323	178.269632795926	15	0.908482360754188	0.685881834015747	0.0342814972458517	0.30600725027103	0.28092401529633	0.104154274801991	0.18102557680869	6654	0.104154274801991	0.027807678284409	0.0357042231474815	0.983202580953801	2.06140099589428	0.237548132611214	0.858967535923364
"DR1043-H"	1139	1139	78.2188803214652	0.987215362890773	5.66059136439651	195.214851852155	50	0.873246629648707	0.804300511231034	0.0686732926439554	0.353461250180898	0.432357701211004	0.057802686540253	0.109219581092046	3847	0.057802686540253	0.0127846371092271	0.0412897797277399	0.966550661067544	2.06141260224962	0.41633861225471	0.876836854283739
"DR1043-SAH"	1391	1391	158.208266745386	0.993679217776848	6.27115012805288	295.110695341172	118	0.838768326929518	0.866446851749448	0.113737071707682	0.43884593690161	0.513968869087352	0.053632793323515	0.0719194894452626	1748	0.053632793323515	0.00632078222315248	0.0813696612665685	0.945991539855072	2.06142233099578	0.540408689248895	0.809401080019637
"DR1044-E"	322	322	9.58441741294338	0.895663976544934	3.06836646774919	46.8922420806891	3	0.98516770628373	0.5313601313537	0.0297652714687682	0.221304408508469	0.195902239271514	0.187972600302464	0.361822791566587	8452	0.187972600302464	0.104336023455066	0.00962992616315274	0.997128911907485	2.06130582683982	0.0842451739169113	0.843207899653056
"DR1044-SAH"	1365	1365	169.974424138832	0.994116761947767	6.18967549154133	280.897110162809	101	0.838941292979856	0.857425254260842	0.124523387647496	0.414604130255343	0.49439768956634	0.0390640215909407	0.0594307337024568	1404	0.0390640215909407	0.0058832380522332	0.0692802092317966	0.950364130712018	2.06142303617716	0.517180935421942	0.782949834450906
"DR1045-E"	300	300	4.41366650053549	0.77343100121437	2.52773133872628	41.5586414620493	2	0.98971774739009	0.443167555908353	0.0147122216684516	0.20963191889602	0.15996122938836	0.448028231142479	0.569933833259815	25392	0.448028231142479	0.22656899878563	0.00204675782973092	0.998059746567863	2.06131952600519	0.0515394794883105	0.52236435818262
"DR1045-H"	892	892	20.5870191976436	0.95142570226415	4.31792383005318	148.673509446628	7	0.916864533416821	0.635599522509627	0.0230796179345781	0.310682788169078	0.270186699606791	0.132510783428629	0.224964055237904	7926	0.132510783428629	0.0485742977358499	0.0108335841107433	0.98689819068521	2.06139955755072	0.2129267395593	0.555204467181596
"DR1045-SAH"	1693	1693	122.83758161684	0.99185916893806	6.23410820970714	381.183100734704	102	0.799710318062788	0.838565022605979	0.0725561616165625	0.47814548471555	0.493766974631012	0.0534083802376485	0.0861163227016886	1708	0.0534083802376485	0.00814083106194029	0.0272983114446529	0.938503038897409	2.06142256022515	0.5723889931207	0.779268292682927
"DR1046-E"	624	624	6.53747096861799	0.847035649595948	3.09785643713339	99.8009395452598	2	0.96951255406427	0.481321327164428	0.0104767162958622	0.310868421403272	0.185588248756582	0.316578057032383	0.501130981150314	16375	0.316578057032383	0.152964350404052	0.0288255195746738	0.994461382887241	2.0614128819542	0.116926051232479	0.886186563557274
"DR1046-H"	1247	1247	124.399961670593	0.991961412314194	6.040216335554	231.043594513125	86	0.868518787290628	0.847333909085611	0.0997593918769791	0.415626040861204	0.491522405992147	0.0560817596439753	0.0836500403678396	2848	0.0560817596439753	0.00803858768580627	0.0379457692534903	0.955015957431641	2.0614221586255	0.504676761908513	0.791977630309356
"DR1046-SAH"	1651	1651	209.788708754834	0.995233299227898	6.44935404590311	356.353804381909	132	0.809015115229828	0.870459613575533	0.127067661268827	0.451012474599424	0.511383520482898	0.0381414319572287	0.0622554153116905	1384	0.0381414319572287	0.00476670077210225	0.0695585074133274	0.935965282622874	2.06142303617716	0.576393099266935	0.807391280383619
"DR1047-E"	1468	1468	100.418813227004	0.990041706649735	6.13822196377165	274.601258730274	100	0.861573379824648	0.841814505194095	0.0684051861219371	0.422266084257311	0.497651803020961	0.073913195171307	0.105854441420696	4237	0.073913195171307	0.00995829335026527	0.0569046123787593	0.946775766939254	2.06141991573444	0.538378340660107	0.748569534575396
"DR1047-H"	1375	1375	277.437549167735	0.996395585229902	6.47089086473171	254.316105151738	152	0.876951651230267	0.895475187015323	0.20177276303108	0.443719636411454	0.55660923416199	0.0283896578000673	0.0481135586312003	1602	0.0283896578000673	0.00360441477009809	0.0600046075599426	0.939979882622936	2.06142303617716	0.6050080632299	0.845487249463928
"DR1047-SAH"	1684	1684	167.890667559527	0.994043742784896	6.471238989588	365.402485896945	149	0.846951992384079	0.871086607783109	0.0996975460567262	0.458184372122887	0.525467552499704	0.0555632076251343	0.0784551389768877	2017	0.0555632076251343	0.00595625721510365	0.0909616814963775	0.932481539658227	2.06142255512206	0.602490289523705	0.796920195035949
"DR1048-E"	386	386	11.2830960295327	0.911371843562922	3.33824108852165	55.2328566143261	4	0.967792170023844	0.560499033374649	0.0292308187293593	0.22510407028543	0.220950881705044	0.208313832987899	0.328040382429632	12463	0.208313832987899	0.0886281564370781	0.0102460386441131	0.99601762709095	2.06132634459932	0.113191147957478	0.610249381560473
"DR1048-H"	756	756	30.5004351010663	0.967213582472302	4.59568796633184	122.079148397835	12	0.882367466288097	0.693370440149672	0.0403444908744263	0.293516920237548	0.312306345981067	0.107525799144224	0.182565651480829	6408	0.107525799144224	0.0327864175276975	0.0389294403892944	0.986461053784232	2.0613902795857	0.241597449450457	0.627284168134911
"DR1048-SAH"	1148	1148	169.897233890345	0.994114088987197	5.99373583996028	211.42244677792	80	0.857442317584365	0.850684913800493	0.147994106176259	0.330476201471194	0.452453568718703	0.0422332826589475	0.062933422187051	2028	0.0422332826589475	0.00588591101280329	0.0666819383993836	0.962724632297324	2.06142200064428	0.40642245777713	0.835377663008392
"DR1049-E"	1444	1444	19.1864421837239	0.947879862747648	5.10534340381395	260.443076087285	25	0.890980463986937	0.701748794343055	0.0132870098225235	0.352224514196777	0.353368792587611	0.215593496179985	0.247389279848104	14307	0.215593496179985	0.0521201372523517	0.0679917421377014	0.969020934942222	2.06141655214321	0.355374391585419	0.589276834285198
"DR1049-H"	1777	1777	216.938374429547	0.995390395993196	6.49232551181578	366.86772490699	142	0.848143955162709	0.86764687593524	0.122081246161816	0.439900193800679	0.515997532822739	0.026967945804385	0.0522909767763998	1246	0.026967945804385	0.00460960400680407	0.0615544445165898	0.931444173286593	2.06142303617716	0.615436227084821	0.780880029435318
"DR1049-SAH"	1626	1626	296.129109565327	0.99662309456349	6.59490197778793	355.658448035132	169	0.850244042345837	0.891940835246264	0.182121223594912	0.461032437454671	0.547696393023303	0.025056546132832	0.0454131539523544	853	0.025056546132832	0.00337690543650994	0.0570161266633375	0.930673560547064	2.06142303617716	0.637135387598038	0.838468995094439
"E-1"	2069	2069	53.4978428804957	0.981307657539878	5.83530061720576	385.970219459109	55	0.820665809447357	0.764300939538091	0.02585685977791	0.374637724101562	0.388519892406497	0.0962060614955603	0.156955553924806	7866	0.0962060614955603	0.0186923424601215	0.0308333944864362	0.947646121838801	2.06142211827278	0.455492771703236	0.63169932242362
