#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_3549	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3550	0	0	0	64	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3551	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3552	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	2	21	4	0	0	0	0	0	0	0	0	0	0	34
ASV_3553	0	0	0	0	0	2	0	0	0	0	0	0	0	2	25	0	0	0	0	0	0	0	0	8	34	0	3	0	0	0
ASV_3554	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	15	0	0	13	0	0	0	0	0	0	11	0
ASV_3555	0	0	0	0	0	0	0	0	14	0	0	0	0	19	0	0	0	0	0	0	0	0	0	37	0	0	0	3	0	0
ASV_3556	0	0	0	0	0	0	0	0	5	0	3	0	4	0	0	0	8	0	3	2	3	0	13	0	0	0	16	0	4	13
ASV_3557	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	35	2	0	0	0	3	0	0	0	0	16	3
ASV_3558	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	4	21	0	0	6	0	3	0	6	5	0	6	9
ASV_3559	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	6	0	17	3	0	9	0	0	0	5	25	0
ASV_3560	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	4	13	0	0	0	2	2	0	0	8	0	20	9
ASV_3561	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	34	12	3	0	3	0	0
ASV_3562	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	32	29	0	0	0	0	0
ASV_3563	13	0	0	5	0	0	0	0	0	0	13	0	0	0	0	0	6	0	0	0	24	0	3	6	0	0	0	0	0	3
ASV_3564	9	0	0	0	0	0	0	0	0	0	3	0	34	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	8
ASV_3565	7	0	0	0	0	0	0	0	0	0	25	0	17	0	0	0	0	0	0	0	8	0	5	9	0	0	0	0	0	2
ASV_3566	6	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	18	2	4	2	0	5	4	6	16	2
ASV_3567	6	0	0	0	0	0	0	0	3	0	0	0	3	3	0	0	6	3	3	5	5	0	10	0	0	6	0	5	5	8
ASV_3568	4	0	0	0	0	0	0	2	0	2	5	0	6	0	0	0	2	0	2	0	0	5	16	6	0	0	6	0	2	13
ASV_3569	3	0	4	0	0	0	0	0	0	0	9	0	0	0	0	0	11	0	3	0	8	5	4	0	0	3	10	0	12	0
ASV_3570	2	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	16	0	2	3	0	4	0	0	6	0	24	0
ASV_3571	2	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	20	0	6	0	0	4	0	0	8	2	16	3
ASV_3572	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	6	0	3	14	0	30	3
ASV_3573	0	0	9	0	0	0	0	0	3	0	5	0	0	0	0	0	12	0	5	0	4	0	0	5	0	0	3	4	16	7
ASV_3574	0	0	3	0	0	5	0	0	0	0	3	0	16	0	3	0	6	0	0	0	7	6	3	4	3	0	7	4	0	0
ASV_3575	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	10	0	3	0	3	0	0	3	13	0	22	2
ASV_3576	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3577	0	0	0	54	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	6	0	0	0	0	0	3	0	0
ASV_3578	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3579	0	0	0	0	55	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	2
ASV_3580	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	2	0	6	0	0	8	0	0	10	0	15	0	12	9	0
