Feature ID	taxonomy
ASV_1075	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Solirubrobacter
ASV_1076	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_1077	Bacteria, Cyanobacteria, Cyanobacteriia, Chloroplast, Chloroplast, Chloroplast
ASV_1078	Bacteria, Actinobacteriota, Actinobacteria, Frankiales, Acidothermaceae, Acidothermus
ASV_1079	Bacteria, Actinobacteriota, Actinobacteria, Frankiales, Acidothermaceae, Acidothermus, uncultured_bacterium
ASV_108	Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, uncultured, uncultured
ASV_1080	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae
ASV_1081	Bacteria, Chloroflexi, Chloroflexia, Chloroflexales, Roseiflexaceae, uncultured, uncultured_Chloroflexi
ASV_1082	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, uncultured
ASV_1083	Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium
ASV_1084	Bacteria, Actinobacteriota, Thermoleophilia, Gaiellales, uncultured, uncultured, uncultured_actinobacterium
ASV_1085	Bacteria, Proteobacteria, Alphaproteobacteria, Reyranellales, Reyranellaceae, Reyranella
ASV_1086	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, 67-14, 67-14
ASV_1087	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured
ASV_1088	Bacteria, Acidobacteriota, Blastocatellia, 11-24, 11-24, 11-24, uncultured_bacterium
ASV_1089	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_109	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Pedomicrobium, uncultured_bacterium
ASV_1090	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Solirubrobacter, metagenome
ASV_1091	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, 67-14, 67-14, uncultured_Rubrobacteraceae
ASV_1092	Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1), Occallatibacter
ASV_1093	Bacteria, Actinobacteriota, Thermoleophilia, Gaiellales
ASV_1094	Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Microbacteriaceae, Agromyces
ASV_1095	Bacteria, Myxococcota, Polyangia, Polyangiales, Sandaracinaceae, uncultured, uncultured_Polyangiaceae
ASV_1096	Bacteria, Methylomirabilota, Methylomirabilia, Rokubacteriales, Rokubacteriales, Rokubacteriales, uncultured_bacterium
ASV_1097	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_1098	Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Domibacillus
