sample-id	q0	q1	q2	sample	Source	Date	Year	Location	Week	Raw reads	Colect_number	Specimen	quant_reading	Effective_reads	ASVs
11	DR1025-SAH	2271	1212.40727224815	666.541403427432	DR1025-SAH	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	226164	DRamos 1025	Ind_7	3691	45971	2271
12	DR1027-E	697	114.546532350297	34.4561570570677	DR1027-E	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	164732	DRamos 1027	Ind_8	216	55793	697
13	DR1027-H	2008	689.583452019173	178.728096346571	DR1027-H	Rhizhomorph	oct-14	2021	Monte obscuro Emiliano Zapata	3	259464	DRamos 1027	Ind_8	87	63660	2008
14	DR1027-SAH	2193	1236.71361999822	676.765401148585	DR1027-SAH	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	188024	DRamos 1027	Ind_8	3635	37192	2193
15	DR1028-SAH	1549	859.185916354355	462.151172590582	DR1028-SAH	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	170542	DRamos 1028	Ind_9	3557	27648	1549
16	DR1029-SAH	1484	692.662572115766	347.943335302682	DR1029-SAH	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	185952	DRamos 1029	Ind_10	3719	34619	1484
17	DR1030-E	476	27.7755709975304	11.3755490086409	DR1030-E	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	174886	DRamos 1030	Ind_11	107	59738	476
18	DR1030-SAH	1969	1141.53957213982	617.084908849393	DR1030-SAH	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	172364	DRamos 1030	Ind_11	3873	30121	1969
19	DR1034-SAH	1057	407.675238390159	129.510237875467	DR1034-SAH	Soil associated	oct-21	2021	Monte obscuro Emiliano Zapata	4	173828	DRamos 1034	Ind_12	3784	25873	1057
20	DR1035-E	1686	198.051965116445	14.4828630837344	DR1035-E	Stipe	oct-21	2021	Monte obscuro Emiliano Zapata	4	182032	DRamos 1035	Ind_13	92	49524	1686
21	DR1035-H	1859	649.434099036509	234.062638356792	DR1035-H	Rhizhomorph	oct-21	2021	Monte obscuro Emiliano Zapata	4	214944	DRamos 1035	Ind_13	82	58262	1859
22	DR1035-SAH	2125	1033.75780992598	441.625630162389	DR1035-SAH	Soil associated	oct-21	2021	Monte obscuro Emiliano Zapata	4	193908	DRamos 1035	Ind_13	3980	36241	2125
23	DR1036-SAH	1839	1100.3135518909	598.933031110214	DR1036-SAH	Soil associated	oct-21	2021	Monte obscuro Emiliano Zapata	4	161916	DRamos 1036	Ind_14	3329	26011	1839
24	DR1038-A-SAH	1737	875.318326344712	403.857276664041	DR1038-A-SAH	Soil associated	oct-21	2021	Monte obscuro Emiliano Zapata	4	179986	DRamos 1038	Ind_15	3812	31230	1737
25	DR1038-SAH	1627	943.520334834735	562.072159218707	DR1038-SAH	Soil associated	oct-21	2021	Monte obscuro Emiliano Zapata	4	173742	DRamos 1038	Ind_15	3704	27059	1627
26	DR1039-SAH	1627	974.587053244074	605.708480853717	DR1039-SAH	Soil associated	oct-21	2021	Monte obscuro Emiliano Zapata	4	164618	DRamos 1039	Ind_16	3454	25339	1627
27	DR1040-SAH	1252	307.039199989763	92.7803022461188	DR1040-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	170988	DRamos 1040	Ind_17	4330	36311	1252
28	DR1041-E	409	21.1200599430761	9.05793369016702	DR1041-E	Stipe	oct-26	2021	El Castillo/Zentla	5	154884	DRamos 1041	Ind_18	3798	51919	409
29	DR1041-H	973	236.465478207844	62.6327369247696	DR1041-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	198760	DRamos 1041	Ind_18	3302	67693	973
30	DR1041-SAH	1091	470.600862597761	216.098155857899	DR1041-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	151764	DRamos 1041	Ind_18	4273	32455	1091
31	DR1042-E	498	40.0564841167879	14.800651240424	DR1042-E	Stipe	oct-26	2021	El Castillo/Zentla	5	184348	DRamos 1042	Ind_19	87	58760	498
32	DR1042-H	1129	191.591875242184	43.3145357792639	DR1042-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	258996	DRamos 1042	Ind_19	87	61981	1129
33	DR1042-SAH	1537	515.230864197785	139.622390007589	DR1042-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	219244	DRamos 1042	Ind_19	4229	45521	1537
34	DR1043-E	1003	118.919347863436	36.7622319432947	DR1043-E	Stipe	oct-26	2021	El Castillo/Zentla	5	183260	DRamos 1043	Ind_20	92	63995	1003
35	DR1043-H	1093	286.196272116349	79.2691525611419	DR1043-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	189252	DRamos 1043	Ind_20	2584	66941	1093
36	DR1043-SAH	1327	521.533058915984	162.051398692842	DR1043-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	166960	DRamos 1043	Ind_20	4147	33033	1327
37	DR1044-E	322	21.2438041667435	9.48513147582357	DR1044-E	Stipe	oct-26	2021	El Castillo/Zentla	5	184192	DRamos 1044	Ind_21	82	44769	322
38	DR1044-SAH	1315	483.242102422883	170.638980208019	DR1044-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	170538	DRamos 1044	Ind_21	4022	36168	1315
39	DR1045-E	290	12.9924404788362	4.55129741924265	DR1045-E	Stipe	oct-26	2021	El Castillo/Zentla	5	151162	DRamos 1045	Ind_22	4974	56437	290
40	DR1045-H	863	76.2143296146721	20.9420906440108	DR1045-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	164924	DRamos 1045	Ind_22	3645	59393	863
41	DR1045-SAH	1581	502.299672313652	127.678842514997	DR1045-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	186942	DRamos 1045	Ind_22	4202	32244	1581
42	DR1046-E	596	22.3629942748726	6.52488226676035	DR1046-E	Stipe	oct-26	2021	El Castillo/Zentla	5	162534	DRamos 1046	Ind_23	184	51459	596
43	DR1046-H	1184	406.547029440978	122.81917248649	DR1046-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	165980	DRamos 1046	Ind_23	2975	50387	1184
44	DR1046-SAH	1530	610.775330793208	209.07179076875	DR1046-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	186080	DRamos 1046	Ind_23	4416	36513	1530
45	DR1047-E	1394	456.279074071246	103.936881654074	DR1047-E	Stipe	oct-26	2021	El Castillo/Zentla	5	168228	DRamos 1047	Ind_24	2787	56743	1394
46	DR1047-H	1317	631.344824914898	278.567311284037	DR1047-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	165194	DRamos 1047	Ind_24	2428	56258	1317
47	DR1047-SAH	1563	625.359838857044	168.692594250335	DR1047-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	177856	DRamos 1047	Ind_24	4550	36573	1563
48	DR1048-E	372	29.3022760450791	11.7346936167872	DR1048-E	Stipe	oct-26	2021	El Castillo/Zentla	5	182892	DRamos 1048	Ind_25	4093	59509	372
49	DR1048-H	726	99.0829169689884	30.701973933858	DR1048-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	170314	DRamos 1048	Ind_25	3649	59669	726
50	DR1048-SAH	1049	384.027703400962	167.217679150257	DR1048-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	212318	DRamos 1048	Ind_25	4373	47993	1049
51	DR1049-E	1274	160.92069407285	19.6858195315271	DR1049-E	Stipe	oct-26	2021	El Castillo/Zentla	5	247528	DRamos 1049	Ind_26	92	65984	1274
52	DR1049-H	1538	600.653718646861	210.245304195397	DR1049-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	230820	DRamos 1049	Ind_26	87	45788	1538
53	DR1049-SAH	1413	667.285426902278	284.919158535162	DR1049-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	192100	DRamos 1049	Ind_26	4249	33759	1413
54	E-1	1597	279.227229386766	46.4763160576941	E-1	Stipe	ago-08	2023	Naolinco	6	281262	DRamos	Ind_27	1327	78107	1597
55	E-10	542	9.35868071161112	3.68096875593002	E-10	Stipe	ago-28	2023	Naolinco	7	474660	DRamos	Ind_36	2260	149323	542
56	E-2	782	55.0662460911976	11.6378270074456	E-2	Stipe	ago-08	2023	Naolinco	6	257930	DRamos	Ind_28	984	79089	782
57	E-3	893	141.925034776295	30.4737941621666	E-3	Stipe	ago-08	2023	Naolinco	6	343020	DRamos	Ind_29	592	101633	893
58	E-4	403	15.1447460732108	3.98311582423495	E-4	Stipe	ago-10	2023	Naolinco	6	474632	DRamos	Ind_30	264	173869	403
59	E-5	1003	110.564833451886	33.8734708619827	E-5	Stipe	ago-10	2023	Naolinco	6	276584	DRamos	Ind_31	1127	93701	1003
60	E-6	479	7.02811996891867	3.26301786149357	E-6	Stipe	ago-28	2023	Naolinco	7	289870	DRamos	Ind_32	1772	95704	479
61	E-7	415	12.5577783416264	4.77962755735495	E-7	Stipe	ago-28	2023	Naolinco	7	297668	DRamos	Ind_33	1249	96474	415
62	E-8	1380	211.697464934741	53.2776132721223	E-8	Stipe	ago-28	2023	Naolinco	7	288130	DRamos	Ind_34	1653	76767	1380
63	E-9	926	16.4257546149463	4.60252354403351	E-9	Stipe	ago-28	2023	Naolinco	7	392038	DRamos	Ind_35	1093	114959	926
64	H-1	1882	351.503681938441	54.3932696275795	H-1	Rhizhomorph	ago-08	2023	Naolinco	6	459838	DRamos	Ind_27	1981	102760	1882
65	H-10	472	14.5794581568271	5.9507239748165	H-10	Rhizhomorph	ago-28	2023	Naolinco	7	494312	DRamos	Ind_36	2677	118895	472
66	H-2	1489	250.463365889109	52.9485835456709	H-2	Rhizhomorph	ago-08	2023	Naolinco	6	502928	DRamos	Ind_28	2200	103699	1489
67	H-3	1320	444.833675082454	151.370351727963	H-3	Rhizhomorph	ago-08	2023	Naolinco	6	247372	DRamos	Ind_29	911	44260	1320
68	H-4	1199	124.745021578577	17.3403664842755	H-4	Rhizhomorph	ago-10	2023	Naolinco	6	330292	DRamos	Ind_30	1771	88361	1199
69	H-5	1045	94.6556390162103	20.849351423324	H-5	Rhizhomorph	ago-10	2023	Naolinco	6	315106	DRamos	Ind_31	1060	81837	1045
70	H-6	1563	305.856634809101	48.6670220796179	H-6	Rhizhomorph	ago-28	2023	Naolinco	7	367938	DRamos	Ind_32	1301	76494	1563
71	H-7	1556	145.46263121027	23.7181395646281	H-7	Rhizhomorph	ago-28	2023	Naolinco	7	393038	DRamos	Ind_33	1498	93231	1556
72	H-8	1600	177.480032912633	18.6189398833295	H-8	Rhizhomorph	ago-28	2023	Naolinco	7	377596	DRamos	Ind_34	1432	89188	1600
73	H-9	1023	52.4112097690415	16.5359758435045	H-9	Rhizhomorph	ago-28	2023	Naolinco	7	377710	DRamos	Ind_35	1921	101993	1023
74	SAH-1	1932	516.220144305402	95.8089054473858	SAH-1	Soil associated	ago-08	2023	Naolinco	6	386342	DRamos	Ind_27	1797	84100	1932
75	SAH-10	1635	288.582443449996	54.0112474677323	SAH-10	Soil associated	ago-28	2023	Naolinco	7	396842	DRamos	Ind_36	2145	77025	1635
76	SAH-2	1636	398.115992974128	83.0607950081856	SAH-2	Soil associated	ago-08	2023	Naolinco	6	515502	DRamos	Ind_28	1656	89524	1636
77	SAH-3	1766	668.236422024581	238.121939772401	SAH-3	Soil associated	ago-08	2023	Naolinco	6	343144	DRamos	Ind_29	1333	69177	1766
78	SAH-4	1528	486.264724608477	164.033797426095	SAH-4	Soil associated	ago-10	2023	Naolinco	6	421026	DRamos	Ind_30	1738	86587	1528
79	SAH-5	1731	321.527669759164	53.6855455727165	SAH-5	Soil associated	ago-10	2023	Naolinco	6	431592	DRamos	Ind_31	1577	82731	1731
80	SAH-6	1897	531.867536913579	81.6194510650467	SAH-6	Soil associated	ago-28	2023	Naolinco	7	385060	DRamos	Ind_32	1759	72717	1897
81	SAH-7	1859	747.886370181904	255.500307421197	SAH-7	Soil associated	ago-28	2023	Naolinco	7	367248	DRamos	Ind_33	1988	63770	1859
82	SAH-8	1629	769.539696304698	347.159347888972	SAH-8	Soil associated	ago-28	2023	Naolinco	7	483236	DRamos	Ind_34	1962	65876	1629
83	SAH-9	1719	510.480594083295	90.4685920435498	SAH-9	Soil associated	ago-28	2023	Naolinco	7	364570	DRamos	Ind_35	1909	57446	1719
