Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	Shared
ASV_3995	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_3995	0	0.0268462927710255	0.0125575554625366	0	0.0443092192715564	0	0	0	0	0.0329877474081056	0.0107550010755001	0	0	0.0040384460059769	0.0120146922522399	0.00827791727601336	Rhizhomorph
ASV_5111	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5111	0	0	0	0.01310238201305	0.0354473754172452	0.011568718186025	0	0.0130517065106263	0	0.0298460571787622	0.0215100021510002	0	0.0132797715879287	0	0	0	Rhizhomorph_Soil associated
ASV_3374	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_3374	0	0	0.0669736291335287	0.01310238201305	0	0	0	0.0174022753475017	0.0430161489792626	0.0235626767200754	0.0134437513443751	0	0.0165997144849109	0.0141345610209191	0	0	Rhizhomorph_Soil associated
ASV_4606	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_4606	0	0	0.0293009627459188	0.01310238201305	0	0.011568718186025	0.0381970970206264	0.015226990929064	0	0.0361294376374489	0	0	0	0.0121153380179307	0.0154474614671656	0	Rhizhomorph
ASV_5582	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5582	0	0.00732171621027969	0	0.01572285841566	0	0.00578435909301249	0	0.0108764220921886	0	0.00785422557335847	0.0268875026887503	0	0	0.0100961150149422	0	0	Rhizhomorph_Soil associated
ASV_4957	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_4957	0	0	0.00837170364169108	0.0366866696365399	0	0.0173530772790375	0	0.0195775597659394	0	0	0	0	0	0.0161537840239076	0.0240293845044798	0	Rhizhomorph
ASV_5702	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5702	0	0	0	0	0	0	0	0	0	0.00942507068803016	0.0241987524198752	0	0	0.0121153380179307	0	0.0220744460693689	Rhizhomorph
ASV_1575	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1575	0	0.0195245765607458	0.0627877773126831	0.0786142920782998	0	0.034706154558075	0.078781512605042	0	0	0.0722588752748979	0.0564637556463756	0	0	0.0302883450448267	0.0205966152895541	0.0137965287933556	Rhizhomorph_Soil associated
ASV_800	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_800	0	0.0536925855420511	0.0711594809543742	0.0235842876234899	0	0.0636279500231374	0	0.0435056883687542	0.114709730611367	0.108388312912347	0.0349537534953753	0.0033479527269075	0.07635868663059	0.0504805750747112	0.0223129998970169	0.0275930575867112	Core
ASV_1661	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1661	0	0.0170840044906526	0	0	0.0561250110773048	0.0607357704766312	0	0.030453981858128	0	0.0754005655042413	0.00806625080662508	0	0.0132797715879287	0	0	0	Rhizhomorph_Soil associated
